harness name,github repo,creation date,major programming language,stars,forks,commits,contributors
AlpacaEval,https://github.com/tatsu-lab/alpaca_eval,2023-05-25 09:35:28+00:00,Python,1933,294,596,81
ANN-Benchmarks,https://github.com/erikbern/ann-benchmarks,2015-05-28 13:21:43+00:00,Python,5568,869,1585,77
ARES,https://github.com/stanford-futuredata/ARES,2023-09-27 03:56:19+00:00,Python,684,67,420,8
AutoRAG,https://github.com/Marker-Inc-Korea/AutoRAG,2024-01-10 12:25:00+00:00,Python,4513,366,876,23
BEIR,https://github.com/beir-cellar/beir,2021-01-18 09:55:54+00:00,Python,2045,231,491,16
C-Eval,https://github.com/hkust-nlp/ceval,2023-05-12 03:08:24+00:00,Python,1799,83,92,4
CipherChat,https://github.com/RobustNLP/CipherChat,2023-08-10 05:55:17+00:00,Python,623,69,94,6
BigCode Eval,https://github.com/bigcode-project/bigcode-evaluation-harness,2022-08-09 12:58:56+00:00,Python,1014,252,920,32
COMET,https://github.com/Unbabel/COMET,2020-05-28 14:59:58+00:00,Python,701,100,568,28
DeepEval,https://github.com/confident-ai/deepeval,2023-08-10 05:35:04+00:00,Python,12937,1149,8562,227
DomainBed,https://github.com/facebookresearch/DomainBed,2020-06-29 21:32:09+00:00,Python,1589,329,207,28
EvalAI,https://github.com/Cloud-CV/EvalAI,2016-10-21 00:51:45+00:00,Python,1976,951,2571,147
Evalchemy,https://github.com/mlfoundations/evalchemy,2024-11-15 22:43:55+00:00,HTML,573,76,465,17
EvalPlus,https://github.com/evalplus/evalplus,2023-04-15 04:20:10+00:00,Python,1665,188,822,27
Evals,https://github.com/openai/evals,2023-01-23 20:51:04+00:00,Python,17527,2859,689,435
EvalScope,https://github.com/modelscope/evalscope,2023-12-07 06:10:49+00:00,Python,2231,251,645,44
Evaluate,https://github.com/huggingface/evaluate,2022-03-30 15:08:26+00:00,Python,2397,305,987,126
Evidently,https://github.com/evidentlyai/evidently,2020-11-25 15:20:08+00:00,Python,6976,767,2766,86
GAOKAO-Bench,https://github.com/OpenLMLab/GAOKAO-Bench,2023-04-16 03:36:14+00:00,Python,698,53,109,3
Giskard,https://github.com/Giskard-AI/giskard-oss,2022-03-06 21:45:37+00:00,Python,5061,387,10391,53
GuideLLM,https://github.com/vllm-project/guidellm,2024-05-29 21:54:22+00:00,Python,794,111,546,35
HELM,https://github.com/stanford-crfm/helm,2021-11-29 08:53:17+00:00,Python,2614,347,6054,124
HumanEval,https://github.com/openai/human-eval,2021-07-06 21:23:45+00:00,Python,3075,430,7,3
Inspect AI,https://github.com/UKGovernmentBEIS/inspect_ai,2023-11-14 14:53:11+00:00,Python,1639,365,4071,162
IntellAgent,https://github.com/plurai-ai/intellagent,2024-10-28 20:53:08+00:00,Python,1159,139,296,4
JiWER,https://github.com/jitsi/jiwer,2018-06-19 00:38:38+00:00,Python,842,108,107,9
LM Eval,https://github.com/EleutherAI/lm-evaluation-harness,2020-08-28 00:09:15+00:00,Python,11130,2946,3921,356
LightEval,https://github.com/huggingface/lighteval,2024-01-26 13:15:39+00:00,Python,2236,408,556,116
LLMPerf,https://github.com/ray-project/llmperf,2023-10-10 16:49:58+00:00,Python,1073,198,35,12
lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval,2024-03-07 12:09:25+00:00,Python,3539,470,1548,155
Melting Pot,https://github.com/google-deepmind/meltingpot,2021-07-16 09:12:01+00:00,Python,776,151,614,14
Meta-World,https://github.com/Farama-Foundation/Meta-World,2019-09-09 19:00:02+00:00,Python,1694,329,960,34
mir_eval,https://github.com/mir-evaluation/mir_eval,2013-08-06 17:04:10+00:00,Python,681,119,926,23
MLPerf,https://github.com/mlcommons/inference,2018-09-13 01:53:57+00:00,Python,1510,600,1871,119
OGB,https://github.com/snap-stanford/ogb,2019-11-22 22:13:57+00:00,Python,2067,405,679,25
Ollama Grid Search,https://github.com/dezoito/ollama-grid-search,2023-12-26 16:35:23+00:00,TypeScript,897,53,567,6
OpenCompass,https://github.com/open-compass/opencompass,2023-06-15 12:42:58+00:00,Python,6525,720,1075,162
Overcooked-AI,https://github.com/HumanCompatibleAI/overcooked_ai,2019-06-23 23:58:41+00:00,Python,914,200,690,20
Prometheus-Eval,https://github.com/prometheus-eval/prometheus-eval,2024-04-18 17:19:09+00:00,Python,1028,67,211,10
PromptBench,https://github.com/microsoft/promptbench,2023-06-13 14:32:34+00:00,Python,2770,219,259,14
Promptfoo,https://github.com/promptfoo/promptfoo,2023-04-28 15:48:49+00:00,TypeScript,9787,855,6729,231
PyKEEN,https://github.com/pykeen/pykeen,2020-02-24 07:26:03+00:00,Python,1935,211,2968,42
Quantus,https://github.com/understandable-machine-intelligence-lab/Quantus,2021-03-18 15:04:58+00:00,Python,634,86,1835,17
Ragas,https://github.com/explodinggradients/ragas,2023-05-08 17:48:04+00:00,Python,12123,1203,1133,236
ranx,https://github.com/AmenRa/ranx,2020-06-02 19:42:22+00:00,Python,632,31,291,8
RewardBench,https://github.com/allenai/reward-bench,2023-12-23 16:20:07+00:00,Python,675,94,233,27
RLBench,https://github.com/stepjam/RLBench,2019-09-26 21:05:51+00:00,Python,1658,297,191,16
Rogue,https://github.com/qualifire-dev/rogue,2025-06-05 21:16:31+00:00,Python,771,114,200,5
SimplerEnv,https://github.com/simpler-env/SimplerEnv,2024-03-23 18:52:04+00:00,Python,919,164,159,9
STT Benchmark,https://github.com/Picovoice/speech-to-text-benchmark,2018-08-04 02:52:01+00:00,Python,677,73,23,4
TFMA,https://github.com/tensorflow/model-analysis,2018-03-23 19:08:49+00:00,Python,1268,282,1570,55
TorchBench,https://github.com/pytorch/benchmark,2017-05-26 19:21:12+00:00,Python,1003,330,2433,207
TruLens,https://github.com/truera/trulens,2020-11-02 21:56:45+00:00,Python,3025,242,1661,61
TrustLLM,https://github.com/HowieHwong/TrustLLM,2023-12-23 18:32:57+00:00,Python,618,66,306,13
VBench,https://github.com/Vchitect/VBench,2023-11-27 12:41:46+00:00,Python,1409,96,1076,18
VLMEvalKit,https://github.com/open-compass/VLMEvalKit,2023-12-01 08:18:11+00:00,Python,3665,604,1647,224
