keyword phrase,query link,# retrieved repos,qualified evaluation harnesses
benchmark environment,https://github.com/search?q=benchmark+environment+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,7,"https://github.com/HumanCompatibleAI/overcooked_ai,https://github.com/stepjam/RLBench,https://github.com/Farama-Foundation/Metaworld"
benchmark framework,https://github.com/search?q=benchmark+framework+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,44,"https://github.com/modelscope/evalscope,https://github.com/microsoft/promptbench,https://github.com/Picovoice/speech-to-text-benchmark,https://github.com/openai/evals"
benchmark library,https://github.com/search?q=benchmark+library+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,31,"https://github.com/erikbern/ann-benchmarks,https://github.com/ray-project/llmperf"
benchmark platform,https://github.com/search?q=benchmark+platform+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,11,https://github.com/open-compass/opencompass
benchmark suite,https://github.com/search?q=benchmark+suite+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,12,
benchmark tool,https://github.com/search?q=benchmark+tool+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,42,
comparison library,https://github.com/search?q=comparison+library+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,8,https://github.com/AmenRa/ranx
comparison platform,https://github.com/search?q=comparison+platform+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,8,
evals,https://github.com/search?q=evals+stars%3A%3E500&type=repositories&ref=advsearch&s=stars&o=desc,37,"https://github.com/promptfoo/promptfoo,https://github.com/openai/evals,https://github.com/truera/trulens,https://github.com/modelscope/evalscope"
evaluation environment,https://github.com/search?q=evaluation+environment+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,10,
evaluation framework,https://github.com/search?q=evaluation+framework+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,39,"https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/modelscope/evalscope,https://github.com/stanford-crfm/helm,https://github.com/Marker-Inc-Korea/AutoRAG,https://github.com/confident-ai/deepeval,https://github.com/evidentlyai/evidently,https://github.com/microsoft/promptbench,https://github.com/openai/evals,https://github.com/plurai-ai/intellagent,https://github.com/OpenLMLab/GAOKAO-Bench,https://github.com/RobustNLP/CipherChat,https://github.com/Unbabel/COMET,https://github.com/bigcode-project/bigcode-evaluation-harness,https://github.com/UKGovernmentBEIS/inspect_ai,https://github.com/harbor-framework/harbor"
evaluation function,https://github.com/search?q=evaluation+function+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,5,https://github.com/mir-evaluation/mir_eval
evaluation harness,https://github.com/search?q=evaluation+harness+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,2,"https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/bigcode-project/bigcode-evaluation-harness"
evaluation library,https://github.com/search?q=evaluation+library+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,35,"https://github.com/huggingface/evaluate,https://github.com/pykeen/pykeen"
evaluation notebook,https://github.com/search?q=evaluation+notebook+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,1,
evaluation package,https://github.com/search?q=evaluation+package+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,7,
evaluation platform,https://github.com/search?q=evaluation+platform+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,18,"https://github.com/open-compass/opencompass,https://github.com/dezoito/ollama-grid-search,https://github.com/vllm-project/guidellm"
evaluation repository,https://github.com/search?q=evaluation+repository+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,15,
evaluation suite,https://github.com/search?q=evaluation+suite+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,2,https://github.com/hkust-nlp/ceval
evaluation tool,https://github.com/search?q=evaluation+tool+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,28,https://github.com/allenai/reward-bench
evaluation toolkit,https://github.com/search?q=evaluation+toolkit+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,15,"https://github.com/open-compass/VLMEvalKit,https://github.com/huggingface/lighteval,https://github.com/HowieHwong/TrustLLM,https://github.com/understandable-machine-intelligence-lab/Quantus,https://github.com/mlfoundations/evalchemy"
evaluator,https://github.com/search?q=evaluator+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,279,"https://github.com/open-compass/opencompass,https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/modelscope/evalscope,https://github.com/truera/trulens,https://github.com/confident-ai/deepeval,https://github.com/pytorch/benchmark,https://github.com/Giskard-AI/giskard-oss,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/Vchitect/VBench,https://github.com/open-compass/VLMEvalKit,https://github.com/allenai/reward-bench,https://github.com/evidentlyai/evidently,https://github.com/huggingface/lighteval,https://github.com/Cloud-CV/EvalAI,https://github.com/microsoft/promptbench,https://github.com/understandable-machine-intelligence-lab/Quantus,https://github.com/dezoito/ollama-grid-search,https://github.com/huggingface/evaluate,https://github.com/prometheus-eval/prometheus-eval,https://github.com/OpenLMLab/GAOKAO-Bench,https://github.com/RobustNLP/CipherChat,https://github.com/Unbabel/COMET,https://github.com/openai/evals,https://github.com/tatsu-lab/alpaca_eval,https://github.com/stanford-futuredata/ARES,https://github.com/bigcode-project/bigcode-evaluation-harness,https://github.com/beir-cellar/beir,https://github.com/simpler-env/SimplerEnv,https://github.com/jitsi/jiwer,https://github.com/openai/human-eval,https://github.com/evalplus/evalplus,https://github.com/snap-stanford/ogb,https://github.com/stanford-crfm/helm,https://github.com/Marker-Inc-Korea/AutoRAG,https://github.com/UKGovernmentBEIS/inspect_ai,https://github.com/qualifire-dev/rogue"
test framework,https://github.com/search?q=test+framework+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,205,"https://github.com/evidentlyai/evidently,https://github.com/qualifire-dev/rogue"
test suite,https://github.com/search?q=test+suite+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,45,"https://github.com/google-deepmind/meltingpot,https://github.com/facebookresearch/DomainBed"
testing tool,https://github.com/search?q=testing+tool+stars%3A%3E500&type=repositories&ref=advsearch&s=stars&o=desc,254,